University,Total Morrill acres found,Endowment raised as of 1914,Remaining acres with surface rights,"Surface royalties raised, FY 2019",Remaining acres with mineral rights,"Mineral royalties raised, FY 2019"
University of Arizona,143684,"$450,000",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
University of California,150525,"$732,233",0,N/A,441.6,"$1,947"
Colorado State University,89321,"$185,956",19130,"$77,526","42,572","$662,596"
University of Idaho,87445,"$129,615",33527,"$358,258","70,000","$1,188"
Kansas State University,87290,"$491,746",0,N/A,"6,080","$163,345"
University of Minnesota,94631,"$579,430",0,N/A,240,$0
University of Missouri,270613,"$363,441",14787,UNKNOWN,0,N/A
Montana State University,140385,"$533,149",63474,"$623,941","77,929","$6,670"
North Dakota State University,130471,"$455,924",15117,"$308,142","66,109","$2,874,800"
University of Nebraska,89920,"$560,072",6173,"$426,619",0,N/A
New Mexico State University,248964,"$241,909",194571,"$1,217,672","254,200","$353,587"
South Dakota State University,159832,"$128,804",36617.39,"$608,583","160,000","$27,365"
Utah State University,198837,"$194,136",27577,"$83,769","51,724","$943,843"
Washington State University,90081,"$247,608",71147,"$4,250,000","86,657","$1,936"
University of Wisconsin,235690,"$303,594",0,N/A,"6,400",$0
University of Wyoming,89849,"$73,355",71066,UNKNOWN,UNKNOWN,UNKNOWN